p,dist_p,m,dist_m_1,dist_m_2,dist_m_3,dist_m_4
1,2.35,0.5,0.6,0.3,0.2,0.15
2,4.2,1.5,1.75,0.9,0.6,0.45
3,6.1,2.5,2.9,1.4,1,0.7
4,8.2,3.5,4.1,2,1.3,1
5,10.3,4.5,5.2,2.5,1.7,1.3
6,12.5,5.5,6.3,3.15,2.1,1.6
7,14.5,6.5,7.5,3.7,2.5,1.9
8,16.7,7.5,8.65,4.3,2.9,2.15
9,18.8,8.5,9.8,4.9,3.25,2.4
10,20.9,9.5,10.95,5.5,3.65,2.7
