m,dist_m,p,dist_p_1,dist_p_2,dist_p_3
0.5,0.5,1,3,2,1.4
1.5,1.45,2,5.4,4,2.9
2.5,2.45,3,8.4,5.85,4.3
3.5,3.4,4,11.3,7.7,5.9
4.5,4.4,5,14.1,9.8,7.2
5.5,5.35,6,16.7,11.6,8.4
6.5,6.35,7,19.8,13.3,9.9
7.5,7.3,8,22.5,15.4,11.2
8.5,8.3,9,25.4,17,12.9
9.5,9.3,10,29.1,19,14.2
