p,d_1,d_2,d_3,d_4,d_5
1,2.85,1.5,0.7,0.4,0.2
2,5.3,2.9,1.4,0.8,0.4
3,8,4.3,2.2,1.1,0.6
4,10.7,5.6,2.85,1.45,0.8
5,13.1,7.05,3.55,1.8,1
6,16.4,8.5,4.3,2.2,1.2
7,19.15,9.8,5,2.55,1.35
8,22.05,11.2,5.6,2.9,1.5
9,24.8,12.7,6.4,3.25,1.7
10,27.7,14.1,7.1,3.6,1.9
