f,V
100,75
200,74
500,74.4
1000,74
2000,74
5000,72
10000,72
20000,72
50000,72
100000,72
200000,71.2
500000,70.4
1000000,65.6
1200000,62.4
1500000,57.6
1700000,52.8
2000000,47.2
2200000,42.4
2400000,37.6
2600000,34
2800000,30.8
3000000,27.2
3183000,24.4
