f,V
100,408
200,408
500,408
1000,408
2000,408
5000,412
10000,412
20000,412
50000,388
80000,340
100000,304
110000,288
120000,272
140000,248
160000,224
180000,208
200000,188
230000,172
270000,152
300000,144
350000,122
400000,108
500000,96
600000,84
800000,74
1000000,66
1500000,54
2000000,44
2500000,36
3000000,28.8
