f,V
100,142
200,142
500,142
1000,142
2000,142
5000,142
10000,142
20000,142
50000,138
100000,138
200000,136
500000,130
1000000,108
1200000,100
1500000,84
1700000,74
1900000,66
2100000,58
2400000,48
2700000,38.4
3000000,31.2
3169000,28
