f,V
100,436
200,436
500,436
1000,436
2000,444
5000,444
10000,444
20000,440
30000,416
35000,388
40000,338
45000,288
50000,240
55000,190
60000,164
70000,130
80000,112
90000,96
100000,86
130000,69.6
160000,59.2
200000,50
300000,38.4
500000,29
1000000,20
1500000,17
2000000,14.6
2500000,12.5
3000000,11.2
